Print_Date,Emancipation_Date_Start,Site,Emancipation_Date_End,Breed,Species_,SpayNeutered,Stage_,Photo,Location_,Sort_By,Intake_Date_From,Review_Date_From,Intake_Date_To,Review_Date_To,Pre_Altered,Show_Photo,Video
"Thursday, October 16, 2025",All,All,All,All,All,All,All,All,All,SubLocation - Alphabetical,All,All,All,All,Y,No,All

Location_1,AVG_LOS,Distinct_Animals,AnimalNumber,AnimalName,AnimalType,PrimaryBreed,Age,Color,Declawed,PreAltered,IntakeType,Sex,Stage,Location,ARN,ChipNumber,Species,SecondaryBreed,DateOfBirth,ColorPattern,EmancipationDate,SpayedNeutered,IntakeDateTime,LOSInDays,StageChangeReason,SubLocation,AnimalWeight,Danger,DangerType,NumberOfPictures,Videos,HoldReason,HorForName,HoldStartDate,HoldPlacedBy,Total_Animals
  Cat Adoption Room G,Avg. LOS: 37,9,A0059025407,Raphael,Cat,Domestic Shorthair,2m 28d,White/Black,N,Y,Owner/Guardian Surrender/Guardian Surrender - FIELD!,M,Available,Cat Adoption Room G,,941010004623835,Cat,,7/18/2025 12:00:00 AM,,,Y,10/4/2025 4:49 PM,11.80,,08,3.25 pound,No,,0,No,,,,,457
  Cat Adoption Room H,Avg. LOS: 17,8,A0059572495,Noah,Cat,Domestic Shorthair,2y 7d,Brown/White,N,N,Owner/Guardian Surrender/Evaluation/Poss Adopt - OTC!,M,Available,Cat Adoption Room H,,941000029667765,Cat,,10/9/2023 12:00:00 AM,Tabby/,,Y,10/9/2025 1:16 PM,7.00,,01,10.50 pound,No,,3,No,,,,,457
  Cat Adoption Room H,Avg. LOS: 17,8,A0059594062,Ella,Cat,Domestic Shorthair,4y 3d,White/Brown,N,N,Seized/Signed Over,F,Available,Cat Adoption Room H,,941010004721745,Cat,,10/13/2021 12:00:00 AM,Calico/,,Y,10/13/2025 2:43 PM,2.90,,02,7.00 pound,No,,0,No,,,,,457
  Cat Adoption Room H,Avg. LOS: 17,8,A0059594091,Jasmine,Cat,Domestic Shorthair,1y 3d,Brown/Orange,N,N,Seized/Signed Over,F,Available,Cat Adoption Room H,,941010004718620,Cat,,10/13/2024 12:00:00 AM,Tabby/,,Y,10/13/2025 2:43 PM,2.90,,03,5.50 pound,No,,0,No,,,,,457
  Cat Adoption Room H,Avg. LOS: 17,8,A0059594906,Chip,Cat,Domestic Shorthair,5y 2d,Brown/White,N,Y,Owner/Guardian Surrender/Evaluation/Poss Adopt - OTC!,M,Hold - Trocaire,Cat Adoption Room H,,941010004718722,Cat,,10/14/2020 12:00:00 AM,Tabby/,,Y,10/14/2025 11:16 AM,2.00,,04,10.00 pound,No,,0,No,,,,,457
  Cat Adoption Room H,Avg. LOS: 17,8,A0059465596,Lucky Star,Cat,Domestic Shorthair,6y 15d,Black/White,N,N,Seized/Signed Over,M,Hold - Doc,Cat Adoption Room H,,941010004778024,Cat,,10/1/2019 12:00:00 AM,,,Y,10/1/2025 11:37 AM,15.00,Recheck dental 10/21,05,9.00 pound,No,,0,No,,,,,457
  Cat Adoption Room H,Avg. LOS: 17,8,A0059048669,Bristol,Cat,Domestic Shorthair,4y 2m 11d,White/Orange,N,N,Stray/No Hold,F,Available,Cat Adoption Room H,BRISTOL,941010004481119,Cat,,8/5/2021 12:00:00 AM,Calico/,,Y,8/5/2025 1:24 PM,72.00,,07,8.75 pound,No,,2,No,,,,,457
  Cat Adoption Room H,Avg. LOS: 17,8,A0059463797,Nova,Cat,Domestic Longhair,1y 6m 14d,Brown/,N,N,Seized/Hospital,M,Available,Cat Adoption Room H,,941010004717109,Cat,,4/2/2024 12:00:00 AM,Tabby/,,Y,9/30/2025 7:30 PM,15.70,,08,6.75 pound,No,,3,No,,,,,457
  Cat Adoption Room H,Avg. LOS: 17,8,A0059463805,Starlight,Cat,Domestic Shorthair,1y 6m 14d,Brown/,N,N,Seized/Hospital,F,Available,Cat Adoption Room H,,941010005078589,Cat,,4/2/2024 12:00:00 AM,Tabby/,,Y,9/30/2025 7:30 PM,15.70,,08,6.75 pound,No,,3,No,,,,,457
  Cat Behavior Room I,Avg. LOS: 19,4,A0059553424,Leaf,Cat,Domestic Shorthair,1y 10d,Brown/Black/Grey,N,N,Owner/Guardian Surrender/Eviction - Field!,M,Available - Behind the Scenes,Cat Behavior Room I,Daddy Cat,941010004737336,Cat,,10/6/2024 12:00:00 AM,Tabby/,,Y,10/7/2025 11:09 AM,9.00,,02,8.50 pound,No,,3,No,,,,,457
  Cat Behavior Room I,Avg. LOS: 19,4,A0059543324,Toby,Cat,Domestic Shorthair,1y 11d,White/Black,N,N,Owner/Guardian Surrender/Guardian Surrender - FIELD!,M,Available - Behind the Scenes,Cat Behavior Room I,,941010004747228,Cat,,10/5/2024 12:00:00 AM,,,Y,10/4/2025 4:15 PM,11.80,,05,7.60 pound,No,,3,No,,,,,457
  Cat Behavior Room I,Avg. LOS: 19,4,A0059543348,Shadow,Cat,Domestic Shorthair,1y 6m 10d,Brown/White,N,N,Owner/Guardian Surrender/Guardian Surrender - FIELD!,F,Available - Behind the Scenes,Cat Behavior Room I,,941010005044516,Cat,,4/6/2024 12:00:00 AM,Tabby/,,Y,10/4/2025 4:15 PM,11.80,,05,7.90 pound,No,,3,No,,,,,457
  Cat Behavior Room I,Avg. LOS: 19,4,A0059280127,Hammy,Cat,Domestic Shorthair,1y 1m 14d,Blue/White,N,N,Owner/Guardian Surrender/Guardian Surrender - FIELD!,F,Available - Behind the Scenes,Cat Behavior Room I,Baby Hammy,941010004712381,Cat,,9/2/2024 12:00:00 AM,,9/3/2025 6:37 PM,Y,9/3/2025 6:36 PM,42.80,,07,7.50 pound,No,,3,No,,,,,457
  Cat Isolation 231,Avg. LOS: 1,4,A0059614091,Brandy,Cat,Domestic Shorthair,3y 0d,Blue/,N,N,Seized/Signed Over,F,Hold - Surgery,Cat Isolation 231,,941010004065875,Cat,,10/16/2022 12:00:00 AM,,,N,10/16/2025 10:52 AM,0.10,,Cage 4,5.75 pound,No,,1,No,,,,,457
  Cat Isolation 231,Avg. LOS: 1,4,A0059599153,Sookie,Cat,Domestic Shorthair,6y 2m 17d,White/Orange/Orange,N,Y,Stray/OTC,F,Hold - Legal Notice,Cat Isolation 231,,981020002767516,Cat,,7/29/2019 12:00:00 AM,Calico/,,Y,10/14/2025 12:24 PM,2.00,,Cage 5,11.75 pound,No,,1,No,,,,,457
  Cat Isolation 231,Avg. LOS: 1,4,A0059601696,Moon,Cat,Domestic Shorthair,1y 2d,White/Orange,N,N,Seized/Signed Over,M,Hold - Behavior,Cat Isolation 231,,941010004771148,Cat,,10/14/2024 12:00:00 AM,Tabby/,,Y,10/14/2025 3:01 PM,1.90,medically cleared,Cage 7,5.50 pound,No,,1,No,,,,,457
